Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
ML 280 CDI (W164.120/121),OM 642.940,2987,140,190,09/05 → 06/09
ML 300 (W164.182),M 272.945,2996,170,231,03/10 → 12/11
ML 300 CDI BlueEFFICIENCY (W164),OM 642.940,2987,140,190,05/09 → 12/11
ML 300 CDI BlueEFFICIENCY (W164),OM 642.820,2987,150,204,02/10 → 12/11
ML 320 CDI (W164.122),OM 642.940,2987,165,224,08/05 → 06/09
ML 320 CDI 4-matic (W164.122),OM 642.940,2987,155,211,07/05 → 07/11
ML 320 CDI BlueTEC (W164.125),OM 642.820,2987,155,210,07/08 → 06/09
ML 350 (W164.186),M 272.962/967,3498,200,272,07/05 → 12/11
ML 350 CDI (W164.125),OM 642.820,2987,170,231,02/10 → 12/11
ML 350 CDI (W164.122),OM 642.940,2987,165,224,05/09 → 03/10
ML 350 CDI BlueTEC (W164.124),OM 642.820,2987,155,211,05/09 → 12/11
ML 420 CDI (W164.128),OM 629.912,3996,225,306,08/06 → 06/09
ML 450 CDI (W164.128),OM 629.912,3996,225,306,05/09 → 12/11
ML 450 HYBRID (W164.195),M 272.973,3498,250,340,06/09 →
ML 500 (W164.175),M 113.964,4966,225,306,07/05 → 05/07
ML 500 (W164.172),M 273.963,5461,285,388,06/07 → 12/11
ML 63 AMG (W164.177),M 156 E63 (156.980),6208,375,510,09/05 → 12/11
