Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
MB 90 (631),"OM 615.963, 970",1988,43,58,03/85 → 12/86
MB 100 (631),"OM 615.963, 970",1998,44,60,12/80 → 12/86
MB 100 D (631),OM 616,2399,53,72,02/88 → 05/92
MB 100 D (631),OM 616,2399,41,56,12/90 → 12/94
MB 100 D (631),OM 616,2399,55,75,12/90 → 02/96
MB 100 D-KB (631),OM 616.963,2350,53,72,02/88 → 05/92
MB 100 D-KB (631),OM 616,2399,55,75,12/90 → 02/96
MB 120 (631),OM 616.963-01,2399,56,76,01/87 → 12/90
MB 130 (631),OM 616,2399,53,72,12/80 → 09/83
MB 140 (631),OM 616,2399,56,76,10/83 → 12/86
MB 150 (631),OM 616,2399,53,72,12/80 → 09/83
MB 160 (631),OM 616.963-01,2399,56,76,01/87 → 06/90
MB 170,OM 616,2399,53,72,12/80 → 09/83
MB 180 (631),OM 616,2399,56,76,10/83 → 12/86
MB 180 D (631),OM 616,2399,56,76,04/94 → 01/96
