Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
R 280 (W251.054/154),M 272.945,2996,170,231,07/07 → 06/09
R 280 CDI (W251.020/026/126),OM 642.950,2987,140,190,06/06 → 06/09
R 300 (W251.054/154),M 272.945,2996,170,231,05/09 → 12/14
R 300 CDI BlueEFFICIENCY (W251),OM 642.950,2987,140,190,05/09 → 12/12
R 320 (W251.163),M 276.826,2996,200,272,01/14 → 10/17
R 320 CDI (W251.022/122),OM 642.950,2987,165,224,10/05 → 06/09
R 320 CDI BlueTEC (W251.021),OM 642.870,2987,155,210,07/08 → 12/12
R 350 (W251),M 272.967,3498,200,272,09/05 → 12/12
R 350 BlueEFFICIENCY (W251),M 276.957,3498,225,306,09/11 → 12/14
R 350 CDI (W251.023/123),OM 642.872,2987,195,265,06/10 → 12/14
R 350 CDI (W251.022/122),OM 642.950,2987,165,224,05/09 → 12/12
R 350 CDI BlueTEC (W251.024/124),OM 642.870,2987,155,211,05/09 → 12/14
R 400 (W251.166),M 276.825/826,2996,245,333,01/14 → 10/17
R 500 (W251.072/172),M 273.963,5461,285,388,07/07 → 12/14
R 500 (W251.075/175),M 113.971,4966,225,306,09/05 → 06/07
R 63 AMG (W251.077/177),M 156 E63 (156.980),6208,375,510,02/06 → 12/10
