Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"300 SE,SEL (W140)",M 104.990,3199,170,231,03/91 → 09/98
"400 SE, SEL (W140)",M 119.971,4196,210,286,02/91 → 09/98
"500 SE,SEL,SEC (W140)",M 119.970,4973,240,326,02/91 → 05/93
"600 SE,SEL,SEC (W140)",M 120.980,5987,300,408,04/91 → 05/93
S 280 (W140),M 104.944,2799,145,197,06/93 → 09/98
S 280 (W140),M 104.944,2799,142,193,06/93 → 09/98
S 300 TD (W140),OM 606.961,2996,130,177,05/96 → 09/98
S 350 TD (W140),OM 603.971,3449,110,150,06/93 → 09/98
S 400 (W140),M 119.971,4196,205,279,06/93 → 09/98
S 420 Coupé (W140),M 119.971,4196,205,279,10/94 → 06/96
S 500 (W140),M 119.970,4973,235,320,06/93 → 09/98
S 500 Coupé (W140),M 119.970,4973,235,320,06/93 → 06/96
S 600 (W140),M 120.980,5987,290,394,06/93 → 09/98
S 600 Coupé (W140),M 120.980,5987,290,394,06/93 → 06/96
