Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
S 350 d (C223),OM 656.929,2925,210,286,09/20 →
S 350 d Mild-Hybrid (W/V223),M656.830,2989,230,313,05/23 →
S 400 d (C223),OM 656.929,2925,243,330,09/20 →
S 450 EQ Boost (C223),M 256.930,2999,270,367,10/20 →
S 450 EQ Boost (V223),M 256.830,2999,280,381,09/22 →
S 450 d Mild-Hybrid (W/V223),M656.830,2989,270,367,05/23 →
S 450 e Plug-In Hybrid (W/V223),M256.930,2999,300,408,05/22 →
S 500 EQ Boost (C223),M 256.930,2999,320,435,10/20 →
S 500 EQ Boost (V223),M 256.830,2999,330,449,09/22 →
S 580 (W/V223),M176.980,3982,370,503,05/21 →
S 580 e (W/V223),M256.930,2999,375,510,07/21 →
S 63 AMG Hybrid,M177.880,3982,590,802,05/23 →
