Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
S 300 h BlueTEC Hybrid (W222.004/104),OM 651.921,2143,170,231,02/14 → 05/17
S 320L (W222.162),M 276.824,2996,200,272,01/14 →
S 350 d (W222.020/021),OM 656.929,2925,210,286,07/17 →
S 350 d (W222.020/021),OM 656.929,2925,183,249,07/18 →
S 350 d BlueTEC (W222.032/132),OM 642.861,2987,190,258,06/13 → 05/17
S 350 d BlueTEC 4Matic (W222.133),OM 642.867,2987,185,252,02/14 → 05/17
S 400 (C217.367),M 276.824,2996,270,367,10/15 →
S 400 (W222.067/165/167),M 276.824,2996,245,333,03/14 → 05/17
S 400 (W/ V/ X222),M 276.824,2996,245,333,02/15 → 05/17
S 400 4-matic (C217),M 276.824,2996,270,367,10/15 →
S 400 Hybrid (W222.057/157),M 276.960,3498,225,306,06/13 → 05/17
S 400 d (W222.034/035),OM 656.929,2925,250,340,07/17 →
S 450 (W222),M 256.930,2987,270,367,09/17 →
"S 450 (C217, W222)",M 276.824,2996,270,367,07/17 →
"S 500 (W222.082/182/085/185, C217.382/385/482)",M 278.929,4663,335,455,06/13 → 10/17
S 500 (W222.185),M 278.929,4663,320,435,09/13 → 05/17
S 500 (W222),M 256.930,2987,320,435,09/17 →
S 500 PLUG-IN HYBRID (W222.163),M 276.824,2996,245,333,08/14 → 05/17
S 500L 4-MATIC (W222.184/984),M 278.910,3996,310,421,02/14 → 10/17
"S 560 (C217, W222)",M 176.980,3982,345,469,07/17 →
S 560e (W222.173),M 276.824,2996,350,476,10/18 →
S 600 (W222.176),M 277.980,5980,390,530,02/14 →
"S 63 AMG (W222.077/177/178, C217.378/478)",M 157.985,5496,430,585,09/13 → 10/17
"S 63 AMG (222.183/186, 217.484/488/387)",M 177.980,3982,450,612,07/17 →
"S 65 AMG (W222.179, C217.379)",M 279.980,5980,463,629,02/14 → 05/19
S 650 (W222),M 277.980,5980,390,530,03/19 →
