Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
208 CDI (902),OM 611 DELA,2151,60,82,04/00 → 05/06
"208 D (901,902)",OM 601.943,2299,59,80,02/95 → 06/00
208 D (902),OM 601.943,2299,60,82,10/96 → 06/00
"210 D (901, 902)",OM 602.986,2874,75,102,01/97 → 06/00
211 CDI (902),OM 611 DELA,2151,80,109,04/00 → 05/06
"212 D (901,902)",OM 602.980DE LA,2900,90,120,02/95 → 06/00
213 CDI (902),OM 611 DELA,2151,95,129,04/00 → 05/06
"214 (901,902)",M 111.979 E23,2295,105,143,02/95 → 05/06
"214 (901,902)",M 111,2295,92,125,04/00 → 05/06
216 CDI (902),OM 612 DELA,2685,115,156,04/00 → 05/06
308 CDI (903),OM 611 DELA,2151,60,82,04/00 → 05/06
308 D (903),OM 601.943,2299,58,79,02/95 → 06/00
308 D (903),OM 601.943,2299,60,82,11/96 → 06/00
308 E (903.372),E-Motor,,40,55,04/00 → 05/06
310 D (903),OM 602.980,2874,75,102,02/95 → 06/00
311 CDI (903),OM 611 DELA,2151,80,109,04/00 → 05/06
312 D (903),OM 602.980DE LA,2874,90,122,02/95 → 06/00
313 CDI (902),OM 611 DELA,2151,95,129,04/00 → 05/06
314 (903),M 111.979 E23,2295,105,143,02/95 → 05/06
314 (903),M 111,2295,92,125,04/00 → 05/06
316 CDI (903),OM 612 DELA,2685,115,156,04/00 → 05/06
408 CDI (904),OM 611 DELA,2151,60,82,04/00 → 05/06
408 D (904),OM 601.943,2299,58,79,02/96 → 06/00
410 D (904),OM 602.980 LA,2900,75,102,02/95 → 06/00
411 CDI (904),OM 611 DELA,2151,80,109,04/00 → 05/06
412 D (904),OM 602.980DE LA,2900,90,120,02/95 → 06/00
412 D (904),OM 602.980DE LA,2874,85,115,02/95 → 06/00
413 CDI (904),OM 611 DELA,2151,95,129,04/00 → 05/06
414 (904),M 111.979 E23,2300,105,143,07/95 → 05/06
416 CDI (904),OM 612,2685,115,156,04/00 → 05/06
