Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
V 170 CDI (447),OM 622.851,1749,75,102,06/20 →
V 200 CDI (447),OM 622.851,1749,100,136,06/20 →
V 200 CDI (447),OM 651.950,2143,100,136,04/14 →
V 220 CDI (447),OM 651.950,2143,120,163,04/14 →
V 220 CDI / d (447),OM 654.920,1950,120,163,03/19 →
V 250 (447.813/815),M 274.920,1991,155,211,03/14 →
V 250 CDI / d (447),OM 654.920,1950,140,190,03/19 →
V 250 CDI BlueTEC (447),OM 651.950,2143,140,190,04/14 →
V 300 CDI / d (447),OM 654.920,1950,176,239,03/19 → 12/20
V 300 CDI / d (447),OM 654.920,1950,174,237,01/21 →
