Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 CDI (639),OM 646,2148,80,109,09/03 → 12/06
2.0 CDI (639),OM 646,2148,85,116,09/06 → 08/10
2.0 CDI (639),OM 651 LA,2143,100,136,09/10 →
2.2 CDI (639),OM 646,2148,110,150,09/03 → 08/10
2.2 CDI (639),OM 651 LA,2143,70,95,09/10 →
2.2 CDI (639),OM 651 LA,2143,120,163,09/10 →
3.0 (639),M 112,3199,140,190,09/03 → 12/07
3.0 CDI V6 (639),OM 642 LA,2987,150,204,04/06 → 08/10
3.0 CDI V6 (639),OM 642 LA,2987,165,224,09/10 →
3.2 (639),M 112.951,3199,160,218,09/03 → 12/04
3.5 (639),M 272.978,3498,190,258,09/07 →
3.7 (639),M 112.976,3724,170,231,09/04 → 12/07
