Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
109 CDI (639),OM 646,2148,70,95,09/06 →
109 CDI (639),OM 646,2148,65,88,09/03 →
110 CDI (639),OM 651 LA,2143,70,95,09/10 →
111 CDI (639),OM 646,2148,85,116,09/06 →
111 CDI (639),OM 646,2148,80,109,09/03 →
113 CDI (639),OM 651 LA,2143,100,136,09/10 →
115 CDI (639),OM 646,2148,110,150,09/03 →
116 CDI (639),OM 651 LA,2143,120,163,09/10 →
119 (639),M 112.951,3199,140,190,09/03 →
120 CDI V6 (639),OM 642 LA,2987,150,204,04/06 →
122 (639),M 112.951,3199,160,218,09/03 →
122 CDI V6 (639),OM 642 LA,2987,165,224,09/10 →
123 (639),M 112.976,3724,170,231,09/04 → 07/08
126 (639),M 272.978,3498,190,258,09/07 →
E-CELL (639),EM 780.994,,60,82,03/12 →
