Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
109 CDI (447),OM 622.951,1598,65,88,09/14 →
110 CDI (447),OM 622.851,1749,75,102,09/19 →
110 CDI (447),OM 654.920,1950,75,102,10/21 →
111 CDI (447),OM 622.951,1598,84,114,09/14 →
114 CDI (447),OM 651.950,2143,100,136,09/14 →
114 CDI (447),OM 654.920,1950,100,136,03/19 →
114 CDI (447),OM 622.851,1749,100,136,09/19 →
116 CDI (447),OM 654.920,1950,120,163,03/19 →
116 CDI (447),OM 651.950,2143,120,163,09/14 →
119 (447),M 274.920,1984,135,184,11/15 →
119 CDI (447),OM 654.920,1950,140,190,03/19 →
119 CDI BlueTEC (447),OM 651.950,2143,140,190,09/14 →
124 CDI (447),OM 654.920,1950,176,239,04/20 → 12/20
124 CDI (447),OM 654.920,1950,174,237,01/21 →
160 CDI (447),OM 622.951,1598,65,88,03/15 →
180 CDI (447),OM 622.951,1598,84,114,03/15 →
200 CDI (447),OM 654.920,1950,100,136,04/19 →
220 CDI (447),OM 654.920,1950,120,163,03/19 →
250 CDI (447),OM 654.920,1950,140,190,03/19 →
eVito (447),EM 780.701,,85,116,04/19 →
eVito (447),EM 780.702,,150,204,08/20 →
