Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
190 C (W110-112),,1884,59,80,06/61 → 08/65
190 DC (W110-112),OM 621 III,1974,40,54,06/61 → 08/65
200 (W110-112),,1971,61,83,08/65 → 12/67
200 (W110-112),M 115.926,1971,70,95,08/65 → 12/67
200 D (W110-112),,1971,40,55,08/65 → 12/67
220 B (W110-112),,2180,70,95,08/59 → 08/65
220 SB (W110-112),,2180,81,110,08/59 → 08/65
220 SEB (W110-112),,2180,88,120,08/59 → 08/65
230 (W110-112),,2281,88,120,06/66 → 12/67
230 (W110-112),,2281,77,105,08/65 → 06/66
230 S (W110-112),,2281,88,120,06/66 → 12/67
300 SE (W112.014/015),M 189,2996,118,160,02/61 → 07/65
300 SE (W112.014/015),M 189,2996,125,170,02/64 → 07/65
