Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
200 (W123),M 115.939,1971,62,84,02/76 → 08/80
200 (W123),M 115.939,1971,69,94,02/76 → 08/80
200 (W123),M 102.939,1977,74,101,06/80 → 11/85
200 (W/S123),M 102.939,1977,80,109,06/80 → 11/85
200 D (W123),OM 615.940,1971,40,55,07/76 → 02/79
200 D (W123),OM 615.940,1971,44,60,03/79 → 11/85
220 D (W123),OM 615.941,2172,44,60,01/76 → 02/79
220 D (W123),OM 615.941,2172,49,67,01/77 → 03/79
230 (W/S/C123),M 115.954,2277,80,109,02/76 → 03/81
230 E (W/S/C123),M 102.980,2276,100,136,04/80 → 12/85
240 D (W/S123),OM 616.912,2376,48,65,02/76 → 02/79
240 D (W/S123),OM 616.912,2350,53,72,03/79 → 11/85
250 (W/S123),M 123.921,2492,95,129,02/76 → 10/79
250 (W/S123),M 123.921,2492,103,140,10/79 → 07/85
280 (W123),M 110.923,2717,115,156,02/76 → 08/81
280 E (W/S/C123),M 110.984/988,2717,136,185,02/76 → 11/85
280 E (W/S/C123),M 110.988,2717,130,177,08/76 → 08/81
300 D (W/S123),OM 617.912,2971,59,80,02/76 → 07/80
300 D (W/S123),OM 617.912,2971,65,88,03/79 → 11/85
300 D Turbo (W/S123),OM 617.952,2971,92,125,08/81 → 07/85
