Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.2 (One First) (F55, F56)",B38A12A,1198,55,75,07/14 → 10/17
"1.2 (One) (F55, F56, F57)",B38A12,1233,75,102,02/14 → 10/17
"1.5 (Cooper) (F54, F55, F56, F57, F60)",B38A15,1499,100,136,02/14 →
"1.5 (One First) (F55, F56)",B38A15A,1499,55,75,11/17 →
"1.5 (One) (F54, F55, F56, F57)",B38A15A,1499,75,102,07/15 →
"1.5 Diesel (Cooper D) (F55, F56, F57)",B37C15,1496,85,116,02/14 →
1.5 Diesel (One D) (F54),B37C15A,1496,85,116,07/15 →
"1.5 Diesel (One D) (F55, F56)",B37C15,1496,70,95,02/14 →
1.5 SE (Cooper SE ALL4 Hybrid) (F60),B38A15A,1499,165,224,06/17 →
"2.0 (Cooper S) (F54, F55, F56, F57)","B46A20A, B48A20A",1998,155,211,04/13 →
"2.0 (Cooper S) (F54, F55, F56, F57, F60)","B46A20A, B48A20A",1998,141,192,02/14 →
2.0 (Cooper S),B48 A20 A,1998,120,163,09/13 →
"2.0 (Cooper S) (F54, F55, F56, F57, F60)","B46A20A, B48A20A, B48A20F",1998,131,178,07/20 →
2.0 (Cooper SE) (F60),"B38 A15, IA1",1998,162,220,07/20 →
"2.0 Diesel (Cooper D) (F54, F60)",B47C20A,1995,110,150,07/15 →
"2.0 Diesel (Cooper D) (F54, F60)",B47C20A,1995,100,136,10/16 →
"2.0 Diesel (Cooper D) (F54, F60)",B47C20A,1995,120,163,10/16 →
"2.0 Diesel (Cooper SD) (F55, F56, F57)",B47C20A,1995,125,170,09/13 →
"2.0 Diesel (Cooper SD) (F54, F60)",B47C20A,1995,140,190,07/15 →
"2.0 JCW (F56, F60)",B48A20B,1998,170,231,03/15 →
2.0 JCW (F56),B48A20E,1998,225,306,03/20 →
"2.0 JCW (Clubman (F54 LCI), Countryman (F60))",,1998,225,306,07/19 →
Electric (Cooper SE) (F56),IB1P25B,,75,102,11/19 →
Electric (Cooper SE) (F56),IB1P25B,,135,184,11/19 →
