Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 (L032P),4 G 32,1597,48,65,05/80 → 10/86
1.6 (L032PY/P12V/P02),4 G 32,1597,51,70,11/86 → 09/90
1.6 (P 02V/P12V),4 G 32,1598,51,69,11/86 → 05/04
1.6 (P12V/P02V),4 G 32,1598,51,69,11/90 → 05/94
1.8 4x4,4 G 62,1795,60,82,08/84 → 09/90
2.0 (P03W/P03V/P13V),4 G 63 (KAT),1997,66,90,11/86 → 05/04
2.0 (P03W),G 63 B,1997,64,87,11/86 → 05/94
2.0,4G63,1997,85,116,07/94 → 09/13
2.0 (P00W),,1997,83,113,07/96 → 10/98
2.0 4x4 (L030PW),4 G 63,1997,65,88,11/86 → 09/90
2.0 4x4 (P23W),4 G 63,1997,66,90,11/86 → 05/04
2.0 4x4 (P 23V/P23W),4 G 63,1997,65,88,12/86 → 05/04
2.0 Kombi (P03V/P13V),G 63 B,1997,64,87,11/86 → 05/96
2.3 D (L038P),4 D 55 (Turbo),2325,50,68,04/83 → 10/86
2.3 D (L030P),4 D 55,2347,50,68,09/83 → 10/86
2.3 D (P05V/P05W/P15V),4 D 56,2477,51,69,11/86 →
2.4 (P04 W/P14V/P04V),4 G 64,2351,82,112,11/90 → 05/04
2.4 4x4 (P24W/P24V),G 64 B,2351,80,109,11/86 → 12/90
2.4 4x4 (P24W/P24V),4 G 64,2351,82,112,11/90 → 05/04
2.5 D (P05W/P05V/P15V),4 D 56,2477,51,69,11/86 → 02/06
2.5 D,,2477,64,87,11/94 → 05/03
2.5 D 4x4 (P25 W/P25V),4 D 56 (Turbo),2477,64,87,11/88 → 05/04
