Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 (C15AS),4 G 16,1198,40,55,01/84 → 10/86
1.2 (C65A),4 G 16,1198,44,60,08/86 → 04/88
1.5 (C12AS),4 G 15,1468,55,75,11/83 → 04/88
1.5 (C12AS),G 15 B,1468,51,70,06/85 → 04/88
1.5 St.W. (C12V),4 G 15,1468,55,75,09/85 → 12/87
1.5 St.W. (C12V),G 15 B,1468,51,70,09/85 → 08/89
1.6 Turbo (C13A),4 G 32T,1597,92,125,03/84 → 10/88
1.8 D (C14AS),4 D 65,1796,43,58,01/84 → 09/86
1.8 D (C14AS),4 D 65,1796,44,60,09/86 → 04/88
1.8 D St.W. (C14V),4 D 65,1796,43,58,09/85 → 09/86
1.8 D St.W. (C14V),4 D 65,1796,44,60,08/86 → 06/92
1.8 GTi 16V (C68A),4 G 67,1836,100,136,11/89 → 05/92
1.8 St.W. (C37V),4 G 37,1755,66,90,01/87 → 12/87
1.8 St.W. (C37V),G 37 B,1755,61,83,01/87 → 08/89
