Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3,4 G 13,1299,44,60,04/88 → 05/92
1.3 (C61A),,1299,51,70,08/88 → 05/92
1.3 12V (C61A),4 G 13,1299,55,75,01/91 → 06/92
1.5 (C62A),4 G 15,1468,62,84,04/88 → 05/92
1.5 12V (C62A),4 G 15,1468,66,90,05/89 → 05/92
1.5 12V St.W. (C12V),4 G 15,1468,66,90,09/90 → 12/91
1.5 St.W. (C12V),4 G 15,1468,61,83,09/88 → 12/90
1.8 D (C64A),4 D 65,1796,44,60,04/88 → 05/92
1.8 GLXi 4x4 (C77A),4 G 37,1755,71,97,09/89 → 06/92
1.8 St.W. (C37V),4 G 37,1755,63,86,03/89 → 12/90
1.8 St.W. (C37V),4 G 37,1755,69,94,08/90 → 06/92
