Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3,,1299,60,82,09/03 → 10/08
1.6,4G18,1584,72,98,09/03 → 10/08
2.0,4G63,1997,99,135,09/03 → 12/07
2.0 Evo IX,,1997,269,366,07/06 → 10/08
2.0 16V Turbo Evo IX,,1997,206,280,08/05 → 08/07
2.0 16V Turbo Evo VIII,,1997,195,265,02/04 → 07/05
2.0 16V Turbo Evo VIII,4G63 Turbo,1997,206,280,04/03 → 03/05
2.0 16V Turbo Evo VIII (FQ-300),4G63 Turbo,1997,225,305,04/03 → 04/04
"2.0 16V Turbo Evo VIII (FQ-320, FQ-330)",4G63 Turbo,1997,243,331,04/04 → 08/06
2.0 16V Turbo Evo VIII (FQ-340),4G63 Turbo,1997,255,347,04/04 → 03/05
2.0 16V Turbo Evo VIII (FQ-400),4G63 Turbo,1997,302,411,10/04 → 08/06
