Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5,,1499,80,109,06/08 →
1.6,,1590,86,117,05/10 →
1.8 / 1.8 Flex,,1799,105,143,04/08 →
1.8 DI-D,,1798,110,150,04/10 →
1.8 DI-D (RVR),,1798,85,116,09/10 →
1.8 Mivec,,1798,110,150,11/09 →
2.0 16V (Ralliart),,1998,177,240,06/09 →
2.0 16V,4B11,1998,108,147,01/09 →
2.0 16V (Evolution),4B11 T/C,1998,217,295,08/08 → 12/15
2.0 DI-D,,1968,103,140,10/07 →
2.0 EVO X (Evolution),,1998,257,349,10/11 →
2.0 EVO X (Evolution),,1998,296,402,06/09 →
2.0 i,4B11,,113,154,03/07 →
2.0 i,4B11,1998,113,154,01/09 →
