Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
28.11 2.5 dCi (F91),YD25,2488,81,110,10/06 →
28.12 2.5 dCi (F91),YD25K3 LD-5,2488,90,122,01/12 → 12/13
3.0 TDI,ZD30DDTi,2953,81,110,02/08 → 12/09
32.11 2.5 dCi (F91),YD25,2488,81,110,01/07 → 08/11
35.11 2.5 dCi (F91),YD25,2488,81,110,09/06 → 03/09
35.12 2.5 dCi (F91),YD25K3 LD-5,2488,90,122,01/12 →
35.13 2.5 dCi (F91),YD25,2488,96,130,10/06 → 12/12
35.14 2.5 dCi (F91),YD25K3 LD-5,2488,100,136,01/12 → 12/13
35.14 3.0 dCi (F91),ZD30,2953,101,137,10/06 → 12/13
35.15 3.0 dCi (F91),"ZD30, ZD30H HD-5",2953,110,150,10/06 → 12/13
45.13 2.5 dCi (F91),YD25,2488,96,130,10/06 →
45.15 3.0 dCi (F91),"ZD30, ZD30H HD-5",2953,110,150,10/06 →
