Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.5 dCi (R51),YD25DDTi,2488,140,190,04/10 →
2.5 dCi (R51),YD25DDTi,2488,126,171,10/06 → 03/10
2.5 dCi (R51),YD25DDTi,2488,128,174,03/05 →
2.7 TD (R50),TD27ETI,2664,96,131,12/99 → 03/05
3.0 dCi (R51),V9X,2991,170,231,06/10 →
3.2 TD (R50),QD32ETI,3153,110,150,12/99 → 03/05
3.3 V6 (R50),VG33E,3275,125,170,09/97 → 03/05
3.3 V6 (R50),VG33E,3275,110,150,08/99 → 02/01
3.5 4WD (R52),VQ35DE,3498,183,249,10/13 →
3.5 V6 (R50),VQ35DE,3498,162,220,01/01 → 03/05
4.0 V6 (R51),VQ40DE,,195,265,05/05 →
4.0 V6 (R51),VQ40DE,,214,291,01/10 → 08/14
