Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 16V (P11),GA16DE,1597,66,90,09/96 → 07/02
1.6 16V (P11),GA16DE,1597,73,99,09/96 → 07/02
1.6 16V (P11),QG16DE,1597,78,106,10/00 → 07/02
1.8 (P11),QG18DE,1794,84,114,09/96 → 07/02
1.8 LPG (P11),QG18DE,1769,84,114,08/99 → 12/01
2.0 (P11),SR20DE,1974,103,140,09/96 → 07/02
2.0 16V (P11),SR20DE SPI,1998,85,115,09/96 → 07/02
2.0 16V (P11),SR20DE EGI Kat.,1998,110,150,09/96 → 07/02
2.0 16V (P11),SR20DE MPI,1998,96,131,09/96 → 07/02
2.0 TD (P11),CD20T,1974,66,90,09/96 → 07/02
