Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0,E10S,988,37,50,07/86 → 09/90
1.3 (N13),E13S,1269,44,60,06/86 → 10/88
1.3 (B11),E13,1269,44,60,03/82 → 09/87
1.3 (N13),E13S,1261,44,60,07/86 → 10/91
1.4 (HLB 310),A14,1397,48,65,01/70 → 02/82
1.4 (HLB 310),A14,1397,49,67,06/79 → 02/82
1.4 16V (N14),GA14DE,1392,64,87,10/90 → 05/95
1.4 16V (N14),GA14DE/DS,1392,55,75,10/90 → 05/95
1.4 16V (N14),GA14DE/DS,1597,66,90,10/90 → 05/95
1.4 16V (N14),GA14DE,1488,51,70,10/90 → 05/95
1.4 LX,GA14S,1392,55,75,01/89 → 08/91
1.4 Traveller (HLB 310),A14,1397,48,65,06/79 → 02/82
1.5 (B11),E15S,1488,55,75,03/82 → 10/86
1.5 (HLB 310),A15,1488,51,69,06/79 → 02/82
1.5,E15S,1487,52,71,06/86 → 10/88
1.5 Traveller (HLB 310),A15,1488,51,69,06/79 → 02/82
1.6 (N14/Y10),GA16DE/DS,1597,66,90,02/91 → 12/95
1.6 (N13),E16S,1597,62,84,06/86 → 10/88
1.6,GA16DS,1597,64,87,01/94 → 12/95
1.6 GTI 16V (N13),CA16D,1598,81,110,06/87 → 05/89
1.6i (N13),E16i,1597,54,73,06/86 → 10/90
1.6i (N13),GA16i,1597,66,90,06/86 → 10/90
1.6i 16V (N14),GA16DE,1597,75,102,10/92 → 05/95
1.6i 16V St. W. (Y10L),GA16DS,1597,75,102,10/92 → 03/00
1.7 D (B11),CD17,1681,40,54,03/82 → 10/86
1.7 D (N13),CD17,1681,40,54,06/86 → 01/91
1.8 GTI 16V (N13),CA18D,1809,92,125,01/89 → 06/91
2.0 D (N14),CD20,1974,55,75,10/90 → 05/95
2.0 D St. W. (Y10L),CD20,1974,55,75,06/91 → 03/00
2.0 GTI 16V (N14),SR20DE,1998,105,143,10/90 → 05/95
2.0 GTI-R (N 14),SR20DET,1998,162,220,10/90 → 05/95
