Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3 N,13 N,1297,44,60,09/81 → 08/86
1.3 S,13 S,1297,55,75,09/81 → 08/88
1.6,16 N,1598,55,75,09/81 → 09/87
1.6,16 SV,1598,60,82,09/86 → 08/88
1.6 D,16 DA,1598,40,54,03/82 → 08/88
1.6 S,16 SH,1598,66,90,09/81 → 08/86
1.6i,E 16 NZ,1598,55,75,09/87 → 08/88
1.6i (KAT),C 16 NZ,1598,55,75,09/86 → 08/88
1.8,E 18 NV,1796,62,84,09/87 → 08/88
1.8 E,C 18 NE,1796,74,100,01/85 → 08/86
1.8i,18 E,1796,85,115,09/82 → 08/86
2.0i,C 20 NEF,1998,74,100,08/87 → 08/88
2.0i (KAT),C 20 NE,1998,85,116,09/86 → 08/88
2.0i,20 NE,1998,85,115,09/86 → 08/88
2.0i GT,20 SEH,1998,95,130,03/87 → 08/88
