Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 16V,X 12 XE,1199,48,65,02/98 → 09/00
1.2 16V,Z 12 XE,1199,55,75,10/00 → 01/05
1.4 16V,"X 14 XE, Z 14 XE",1389,66,90,02/98 → 01/05
1.4 16V,Z 14 XEP,1389,66,90,09/03 → 12/09
1.4 LPG,"X 14 XE, Z 14 XE",1389,66,90,03/98 → 01/05
1.6,Z 16 SE,1598,62,85,10/00 → 04/05
1.6,X 16 SZR,1598,55,75,02/98 → 12/00
1.6 16V,"X16XEL, Z16XE, Z16XEP",1598,74,100,02/98 → 10/05
1.6 16V,Z 16 XEP,1598,76,103,03/03 → 12/09
1.6 CNG,Z 16 YNG,1598,71,97,09/02 → 07/04
1.6 LPG,X 16 SZR,1598,55,75,02/98 → 01/05
1.6 LPG,Z 16 SE,1598,62,85,03/98 → 04/05
1.6 LPG,"Z16XEP, Z16XE",1598,76,103,11/02 → 06/07
"1.6 LPG (F08, F48)",,,74,101,02/98 → 01/05
1.7 CDTI,Z 17 DTL,1686,59,80,02/03 → 07/09
1.7 DTI,Y 17 DIT/DT,1686,55,75,02/00 → 01/05
1.7 TD,X 17 DTL,1700,50,68,02/98 → 08/00
1.8 16V,Z 18 XE,1796,92,125,10/00 → 10/05
1.8 16V,X 18 XE1,1796,85,116,02/98 → 09/00
1.8 16V,Z 18 XEL,1796,81,110,10/02 → 01/05
2.0 16V,X 20 XEV,1998,100,136,02/98 → 12/00
2.0 16V OPC,X 20 XER,1998,118,160,11/99 → 07/01
2.0 16V OPC,Z 20 ZET,1998,141,192,08/02 → 10/05
2.0 16V OPC Turbo,Z 20 LET,1998,147,200,11/02 → 10/05
2.0 16V Turbo,Z 20 LET,1998,140,192,08/01 → 05/05
2.0 16V Turbo,Z 20 LET,1998,139,190,08/00 → 09/01
2.0 DI (TD),"X 20 DTL, Y 20 DTL",1995,60,82,02/98 → 04/05
2.0 DTI 16V,"X 20 DTH, Y 20 DTH",1995,74,101,08/99 → 01/05
2.2 16V,Z 22 SE,2198,108,147,03/00 → 10/05
2.2 DTI 16V,Y 22 DTR,2171,92,125,09/02 → 10/05
