Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8,18N,1800,36,49,01/70 → 05/81
"1.9 (1,9 t)",T,1900,51,70,01/67 → 01/75
2.0 CF,Opel-20 N CIH 4,1979,56,76,08/84 → 07/87
2.0 Diesel (S. 97000),Opel-20 D,1997,32,44,10/78 → 12/80
"2.1 Diesel (2,0 t)",Peug. -XDP 4/90,2110,44,60,01/69 → 12/74
2.1 Diesel (S.97000),Opel-21 D,2070,44,60,09/75 → 09/78
2.3,23N,2300,,,01/70 → 05/81
2.3 Diesel,,2300,43,59,01/70 → 09/75
2.3 Diesel CF,Opel-23 D OHC,2260,46,63,09/80 → 07/87
5.4 Diesel EJM2,Vauxhall,5400,,,01/73 → 12/79
