Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0,10 S,993,33,45,09/82 → 03/93
1.2 N,"E 12 GC/GV, 12NC",1196,33,45,01/85 → 10/89
1.2 N,"12 NC/NV/NX, E12 GV",1196,38,52,01/85 → 03/93
1.2 S,12 ST OHC,1196,43,58,09/82 → 10/87
1.2 S,12 ST,1196,40,55,09/82 → 02/90
1.2i (KAT),C 12 NZ,1195,33,45,09/89 → 03/93
1.3 S,13 SB,1297,51,70,09/82 → 10/89
1.3i (KAT),C 13 N,1297,44,60,09/89 → 03/93
1.3i,13 NB,1297,44,60,09/85 → 10/89
1.4 S,14 NV,1389,53,72,01/90 → 03/93
1.4i,C 14 NZ,1389,44,60,01/90 → 03/93
1.4i,C 14 NZ,1389,40,54,01/85 → 03/93
1.4i S,C 14 SE,1389,60,82,09/91 → 03/93
1.5 D,15 D (4EC1),1488,37,50,09/87 → 03/93
1.5 TD,15 DT (T4EC1),1488,49,67,03/88 → 03/93
1.6 GSI (KAT),C 16 SE,1598,74,101,02/92 → 03/93
1.6 GSI,E 16 SE,1598,74,100,05/88 → 03/92
1.6 GSI,C 16 SEI,1598,72,98,09/89 → 03/93
