Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0i 12V,X 10 XE,973,40,54,11/96 → 10/00
1.2 16V,X 12 XE,1199,48,65,01/98 → 10/00
1.2i,C 12 NZ,1195,33,45,03/93 → 10/00
1.4i,X 14 XE,1389,66,90,09/94 → 10/00
1.4i,C 14 NZ,1389,44,60,03/93 → 10/00
1.4i 16V,,1389,63,86,08/97 → 10/00
1.4i S,C 14 SE,1389,60,82,03/93 → 10/00
1.5 D,15 D (4EC1),1488,37,50,03/93 → 10/00
1.5 TD,X 15 DT (T4EC1),1488,49,67,03/93 → 10/00
1.6 GSI 16V,C 16 XE,1598,80,109,03/93 → 10/00
1.6i,X 16 XE,1598,78,106,09/94 → 10/00
1.6i 16V,,1598,74,100,08/97 → 10/00
1.7 D,X 17 D (4EE1),1686,44,60,02/96 → 10/00
