Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 N,12N,1196,40,55,08/76 → 07/83
1.2 S,12 S,1196,44,60,09/75 → 02/79
1.3 N,13 N,1297,44,60,03/79 → 12/80
1.3 S,13 S,1297,55,75,08/81 → 08/86
1.6 N,16 N,1584,44,60,09/75 → 12/80
1.6 S,16 S,1584,55,75,09/75 → 12/81
1.8 S,18 S,1796,66,90,07/82 → 08/87
1.9 E,19 E,1897,77,105,09/75 → 08/77
1.9 N,19 N,1897,55,75,08/76 → 12/81
1.9 S,19 S,1897,66,90,09/75 → 12/80
2.0,20 N,1979,66,90,08/77 → 12/80
2.0 E,20 E,1979,81,110,08/77 → 08/88
2.0 S,20 S,1979,74,100,08/77 → 08/84
2.4 400,24 E,2410,106,144,07/80 → 08/84
