Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.9 DTI,F9Q-770,1870,59,80,09/00 → 10/01
1.9 DTI,F9Q-772/774,1870,60,82,10/01 → 06/10
2.2 DTI,G9T-720/722/750,2188,66,90,09/00 → 06/10
2.5 CDTI,G9U 754,2463,74,100,11/03 → 07/06
2.5 CDTI 100,G9U 650,2463,74,100,07/06 → 06/10
2.5 CDTI 120,G9U 650,2463,88,120,07/06 → 06/10
2.5 CDTI 150,G9U 632,2463,107,146,07/06 → 06/10
2.5 D,S8U (Sofim),2499,59,80,03/98 → 12/03
2.5 DTI,G9U-720/724/750/754,2463,84,114,09/01 → 12/03
2.8 DTI,S9W (Sofim),2799,84,114,03/98 → 12/03
3.0 CDTI,ZD3 200/202,2953,100,136,01/04 → 07/06
