Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8,18 SEH,1796,85,115,09/86 → 03/94
1.8,E 18 NVR,1796,65,88,09/87 → 03/94
1.8 N,18 NV,1796,60,82,09/86 → 08/87
1.8 S,18 SV,1796,66,90,09/86 → 03/94
2.0,C 20 NEF,1998,74,100,09/90 → 03/94
2.0,C 20 NEJ,1998,73,99,09/90 → 03/94
2.0,C 20 NE,1998,85,115,09/86 → 03/94
2.0,20 SE,1998,90,122,09/86 → 03/94
2.3 D,23 YD,2260,54,73,10/86 → 03/94
2.3 TD,23 YDT,2260,66,90,10/86 → 08/88
2.3 TD Interc.,23 DTR,2260,74,100,08/88 → 03/94
2.4i,C 24 NE,2410,92,125,09/88 → 03/94
2.6i,C 26 NE,2594,110,150,09/90 → 03/94
3.0 (3000),C 30 LE,2969,115,156,03/87 → 12/87
"3.0 (3000, KAT)",C 30 NE,2969,130,177,03/88 → 03/94
3.0 (3000),30 NE,2969,130,177,03/87 → 09/90
3.0 24V (3000),C 30 SEJ,2969,147,200,09/89 → 03/94
3.0 24V (3000),C 30 SE,2969,150,204,09/89 → 03/94
3.0 24V Evo 500,C 30 XEI,2969,169,230,03/91 → 07/92
3.6 24V Lotus,C 36 GET,3638,277,377,08/90 → 09/92
