Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.7,17 N,1698,44,60,09/77 → 10/82
1.8,18 N,1796,55,75,11/82 → 08/86
1.8 E,C 18 NV,1796,74,100,05/85 → 08/86
1.8 S,18 S,1796,66,90,11/82 → 08/86
1.9,19 N,1897,55,75,09/77 → 10/82
2.0,20 N,1979,66,90,09/77 → 10/82
2.0 D,20 D,1998,43,58,09/77 → 10/82
2.0 E,20 E,1979,81,110,09/77 → 10/84
2.0 S,20 S,1979,74,100,08/77 → 08/86
2.1 D,21 D,2068,44,60,09/77 → 07/78
2.2 E,22 E,2197,85,115,11/84 → 08/86
2.3 D,23 D (52KW),2260,52,71,11/82 → 08/86
2.3 D,23 D (48KW),2260,48,65,08/78 → 08/83
2.3 TD,23 TD,2260,63,86,06/84 → 08/86
