Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6i,X 16 SZR,1598,55,75,10/95 → 12/98
1.6i 16V,X16XEL/Y16XE/Z16XE,1598,74,101,10/95 → 09/02
1.7 TD,X 17 DT (TC4EE1),1686,60,82,10/95 → 12/96
1.8 16V,Z 18 XE,1798,92,125,10/00 → 09/02
1.8 FlexFuel,X 18 XE,1799,85,116,10/99 → 09/00
1.8i 16V,"X 18 XE, X 18 XE1",1799,85,116,10/95 → 12/00
2.0 D 16V,X 20 DTL,1994,60,82,11/96 → 12/00
2.0 DTI 16V,X20DTH/Y20DTH,1994,74,101,06/97 → 09/02
2.0i,20NEJ,1998,82,112,10/95 → 09/02
2.0i 16V,X 20 XEV,1998,100,136,10/95 → 12/00
2.0i 16V,C 20 SEL,1998,85,116,07/00 → 07/03
2.2 DTI 16V,"Y 22 DTH, Y 22 DTR",2171,92,125,10/00 → 09/02
2.2 i 16V (F19),C 22 SEL,2198,102,139,07/00 → 07/02
2.2i 16V,Z 22 SE,2198,108,147,10/00 → 09/02
2.5i 500,X 25 XE,2498,143,194,05/98 → 12/99
2.5i V6,X 25 XE,2498,125,170,10/95 → 12/00
2.6 V6,Y 26 SE,2597,125,170,10/00 → 09/02
