Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 VTi,EB0,999,50,68,08/12 →
"1.2 THP, PureTech 110",EB2DT,1199,81,110,01/13 →
1.2 VTI 68,"EB2FAD, EB2FB",1199,50,68,06/15 →
"1.2 VTi, PureTech 70",EB2FB,1199,50,68,08/16 →
"1.2 VTi, PureTech 82","EB2, EB2F",1199,60,82,08/12 → 12/19
1.4 HDi 70 FAP,DV4C,1398,50,68,04/12 →
1.4 VTi 95,EP3C,1397,70,95,04/12 →
1.5 BlueHDi 100,DV5RD,1499,75,102,01/18 →
1.6 VTi 120,EP6C,1598,88,120,04/12 →
1.6 BlueHDi 100,DV6FD,1560,73,100,01/15 →
1.6 BlueHDi 115,BHX (DV6FC),1560,85,116,01/15 →
1.6 BlueHDi 120,DV6FC,1560,88,120,01/15 →
1.6 GTI,EP6CDTX,1598,147,200,08/12 →
1.6 GTI 30th,EP6CDTX,1598,153,208,10/14 →
1.6 HDi 110 FAP,DV6C,1560,82,112,04/12 →
1.6 HDi 75 FAP,"DV6ETED, BHW (DV6FE)",1560,55,75,07/12 →
1.6 HDi 90 FAP,DV6DTED,1560,68,92,04/12 →
1.6 THP 156,EP6CDT,1598,115,156,04/12 →
1.6 THP 163,EP6FDT,1598,120,163,03/15 →
