Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3,,1290,48,65,11/77 → 09/82
1.3,118 (XL5),1290,44,60,11/77 → 08/86
1.5,142 (XR5A),1472,50,68,09/85 → 07/90
1.5,117 (XR5S),1472,65,88,05/80 → 09/82
1.5,142 (XR5),1472,54,73,11/79 → 09/82
1.5,142 (XR5),1472,54,73,10/82 → 08/86
1.5 D,149 (XID),1548,36,49,11/77 → 09/82
1.6,B1A (XU51C),1580,55,75,10/82 → 07/88
1.6,BAZ (XU5CP),1580,54,73,11/86 → 12/88
1.6,,1580,69,94,10/82 → 06/88
1.6,171 (XU5S),1580,66,90,07/84 → 08/87
1.6,171 (XU5S),1580,71,97,10/82 → 06/84
1.6 Break,B1A (XU51C),1580,55,75,02/86 → 12/88
1.6 Break,171 (XU5S),1580,66,90,07/84 → 12/87
1.8 D,162 (XUD7),1905,44,60,11/82 → 12/88
1.9,159 (XU9S),1905,75,102,10/82 → 08/85
1.9,DFZ (XU9J1),1905,72,98,11/86 → 12/88
1.9 Break,159 (XU9S),1905,75,102,09/84 → 10/87
1.9 Break,DFZ (XU9J1),1905,72,98,11/86 → 12/88
1.9 D,162 (XUD9),1891,48,65,10/82 → 07/88
1.9 D,162 (XUD9),1905,47,64,10/82 → 07/88
1.9 D Break,162 (XUD9),1891,48,65,10/82 → 12/88
1.9 D Break,162 (XUD9),1905,47,64,10/82 → 12/88
