Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 e-THP (T9),EB2DTS,1199,96,130,03/14 →
1.2 VTi (T9),EB2,1199,60,82,09/13 →
1.2 e-THP (T9),EB2DT,1199,81,110,11/13 →
1.5 BlueHDi 100 (T9),DV5RD,1499,75,102,10/17 →
1.5 BlueHDi 130 (T9),DV5RC,1499,96,131,10/17 →
1.6 GT THP 205 (T9),EP6FDTX,1598,151,205,10/14 →
1.6 GTi THP 250 (T9),EP6FDTR,1598,184,250,08/15 →
1.6 GTi THP 270 (T9),EP6FDTR,1598,200,272,07/15 →
1.6 PureTech 225 (T9),EP6,1598,165,224,01/18 →
1.6 THP 125 (T9),EP6CDT,1598,92,125,09/13 →
1.6 THP 155 (T9),EP6CDT,1598,115,156,09/13 →
1.6 VTi 115 (T9),EC5,1587,85,116,09/13 →
1.6 BlueHDi 100 (T9),DV6FD,1560,73,99,03/14 →
1.6 BlueHDi 120 (T9),DV6FC,1560,88,120,03/14 →
1.6 BlueHDi 95 (T9),DV6FD,1560,70,95,03/14 →
1.6 GTi PureTech 263 (T9),EP6,1598,193,263,07/18 →
1.6 HDi 115 FAP (T9),DV6C,1560,85,115,09/13 →
1.6 HDi 92 FAP (T9),DV6DTED,1560,68,92,09/13 →
1.6 THP 150 (T9),EP6FDTMD,1598,110,150,03/14 →
1.6 THP 163 (T9),EP6FDTM,1598,120,163,06/14 →
2.0 BlueHDi 150 (T9),DW10FD,1997,110,150,03/14 →
2.0 GT BlueHDi 180 (T9),DW10FC,1997,133,181,03/14 →
