Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.1,E1,1118,40,54,10/85 → 07/89
1.1,HDZ (TU1M),1124,44,60,08/90 → 12/93
1.3,G1,1278,47,64,10/85 → 07/89
1.3L,,1294,52,71,09/86 → 08/89
1.4,K1D (TU3A),1361,49,67,07/90 → 12/93
1.4,K2B (TU3S),1360,62,84,03/89 → 07/89
1.4,KDY (TU3M),1361,55,75,07/89 → 12/93
1.4,KDY (TU3M),1360,55,75,03/89 → 07/89
1.4,K1D (TU3A),1360,49,67,03/89 → 07/89
1.4,Y2 / Y2A,,61,83,10/86 → 12/91
1.5,,1442,63,86,06/87 → 12/89
1.6,180Z (XU5J),1580,76,103,11/85 → 09/88
1.6,,1592,69,94,01/86 → 12/93
1.6,,1580,59,80,10/85 → 07/89
1.6,B2A (XU52C/K),1580,68,92,07/89 → 12/93
1.6,B1A (XU51C),1580,55,75,10/85 → 07/89
1.6,,1569,54,73,08/87 → 07/89
1.6,BDY (XU5M2Z),1580,65,88,07/89 → 12/93
1.6,B1E (XU51C),1580,53,72,08/87 → 07/89
1.8 Diesel,161A (XUD7),1769,44,60,07/89 → 12/93
1.8 TD,,1769,57,78,08/89 → 12/93
1.9,DFZ (XU9J1),1905,72,98,08/89 → 12/93
1.9,D2B (XU9S),1905,75,102,10/85 → 07/89
1.9,DDZ (XU9M),1905,80,109,10/90 → 12/93
1.9,DFZ (XU9J1),1905,72,98,03/86 → 07/89
1.9,DDZ (XU9M),1905,80,109,07/88 → 07/89
1.9 D,DJZ (XUD9Y),1905,47,64,07/89 → 12/93
1.9 D,162 (XUD9),1905,47,64,07/89 → 12/93
1.9 D,162 (XUD9),1905,47,64,06/86 → 07/89
1.9 GTI,DKZ (XU9JAZ),1905,88,120,07/88 → 07/89
1.9 GTI,DKZ (XU9JAZ),1905,88,120,07/89 → 12/93
1.9 GTI,D6B (XU9JA),1905,94,128,10/86 → 07/89
1.9 GTI 16V,DFW (XU9J4Z),1905,108,147,10/90 → 12/93
1.9 GTI 16V,D6C (XU9J4),1905,116,158,08/89 → 12/93
