Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 PureTech 130,EB2ADTS,1199,96,131,06/20 →
1.5 BlueHDi 130,DV5RC,1499,96,131,08/18 →
1.6 Hybrid 180,EP6FADTXHPD,1598,133,181,03/23 →
1.6 PureTech 150,EP6FDTMD,1598,110,150,09/18 →
1.6 PureTech 163,EP6FDTM,1598,121,165,09/18 →
1.6 PureTech 16V 180 (Hybrid),EP6FADTXD,1598,165,224,08/19 →
1.6 PureTech 180,EP6F,1598,133,181,08/18 →
1.6 PureTech 225,EP6FADTX,1598,165,224,08/18 →
2.0 BlueHDi 160,DW10FC,1997,120,163,08/18 →
2.0 BlueHDi 180,DW10FC,1997,130,177,08/18 →
PSE Hybrid4 360,EP6FADTXHPR,1598,265,360,02/21 →
