Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.9 D (230L),,1905,50,68,07/99 → 03/02
1.9 D,D8C (XUD9AU),1905,51,69,03/94 → 03/02
1.9 TD,D8C (XUD9UTF),1905,68,92,03/94 → 03/02
1.9 TD,DHY (XUD9TE),1905,66,90,08/94 → 03/02
2.0 HDi,DW10TD,1997,62,84,08/01 → 03/02
2.0i,RFW (XU10J2U),1998,80,109,03/94 → 03/02
2.5 D,T9A (DJ5),2446,63,86,08/94 → 03/02
2.5 TD,T8A (DJ5T),2446,76,104,07/94 → 12/00
2.5 TDI,THX (DJ5TED),2446,79,107,01/97 → 12/00
2.8 HDi,,,94,128,09/00 → 03/02
2.8 HDi,,2798,64,87,01/99 → 02/02
