Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8,169B (XM7T),1796,51,69,01/83 → 11/88
1.9 D,D9B (XUD9A),1905,51,70,11/87 → 03/94
2.0,170D (XN1TACP),1971,62,84,10/90 → 03/94
2.0,170B (XN1T),1971,55,75,09/81 → 05/94
2.0,170 (XN1T),1957,58,79,01/83 → 05/94
2.5 D,CRD93 (U25/661),2498,54,73,09/81 → 03/94
2.5 D,CRD93 (U25/661),2500,54,73,10/90 → 05/94
2.5 D 4x4,CRD93 (U25/661),2500,54,73,10/90 → 05/94
2.5 TD,CRD93LS (U25/673),2500,70,95,09/81 → 05/94
2.5 TD 4x4,CRD93LS (U25/673),2500,70,95,04/92 → 05/94
