Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.1,HDZ/HFX (TU1M/TU1JP),1124,44,60,06/96 → 05/08
1.4,TU3A,1360,54,73,11/02 → 12/09
1.4,KFW/KFX (TU3JP),1360,55,75,06/96 → 12/09
1.4 BiFuel,TU3 JP,1360,55,75,04/03 → 12/09
1.6,TU5 JP4,,81,110,11/02 →
1.6 16V,NFU (TU5JP4),1587,80,109,10/00 → 05/08
1.6 HDI 75,"DV6B, DV6ETEDM",1560,55,75,09/05 → 12/09
1.6 HDI 90,DV6ATED4,1560,66,90,07/05 → 05/08
1.8,LFX (XU7JB),1761,66,90,05/97 → 12/02
1.8 D,A9A (XUD7),1769,43,58,06/96 → 12/02
1.9 D,DJY (XUD9A),1905,50,68,06/96 → 12/98
1.9 D,WJY (DW8B)/WJZ (DW8),1868,51,69,12/98 → 05/08
1.9 D,DW8B,,51,70,11/02 →
2.0 HDI,RHY (DW10TD),1997,66,90,06/99 → 12/09
2.0 HDi,DW10TD,,66,90,11/02 →
Electric,Elsa18,,25,34,06/96 → 12/02
