Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
3.6 Carrera (997),M 96.05,3596,239,325,07/04 → 06/08
3.6 Carrera (997/2),MA1.02,3596,254,345,07/08 → 12/12
3.6 GT2 (997),M 97.70S,3596,390,530,09/07 → 12/12
3.6 GT2 RS (997/2),M 97.70,3596,456,620,06/10 → 12/12
3.6 GT3 (997),M 97.76,3596,305,415,04/06 → 03/09
3.6 Turbo (997),M 97.70,3596,353,480,06/06 → 12/09
3.8 Carrera 4S (997),M 97.01,3824,280,381,07/04 → 12/08
3.8 Carrera S (997),M 97.01,3824,261,355,07/04 → 06/08
3.8 Carrera S (997/2),MA1.01,3824,283,385,07/08 → 12/12
3.8 GT3 (997/2),M 97.77,3797,320,435,04/09 → 12/11
3.8 GT3 RS (997/2),M 97.77-I004,3797,331,450,09/09 → 12/11
3.8 GTS (997/2),MA1.01S,3824,300,408,11/10 → 12/12
3.8 Turbo (997/2),MA1.70,3800,368,500,11/09 → 12/12
3.8 Turbo S (997/2),MA1.70S,3800,390,530,05/10 → 12/12
4.0 GT3 RS (997/2),M 97.44,3996,368,500,06/11 → 12/12
