Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
3.0 (C33/China),"M06.EC, MCJ.TB",2995,245,333,05/10 →
3.0 S Hybrid,"M06.EC, MCG.EA/FA",2995,306,416,05/11 → 05/17
3.0 V6 Diesel,"M05.9E, MCN.RB",2976,176,239,05/10 →
3.0 V6 Diesel,MCR.CA/CB,2976,180,245,08/11 →
3.0 V6 Diesel,MCV.VB,2967,184,250,10/14 →
3.0 V6 Diesel,MCV.VA,2967,193,262,10/14 →
3.6 GTS,MCX.ZA,3604,324,441,10/14 →
3.6 S,MCU.RA,3604,309,420,10/14 →
3.6 V6,M55.02,3598,220,300,05/10 →
4.2 S V8 Diesel,MCU.DC,4134,283,385,10/14 →
4.2 V8 Diesel,MCU.DB,4134,285,387,11/12 →
4.8 GTS,M48.02,4806,309,420,06/12 →
4.8 S,M48.02,4806,294,400,05/10 →
4.8 Turbo,M48.52,4806,368,500,05/10 →
4.8 Turbo,MCF.TB,4806,382,519,10/14 →
4.8 Turbo S,M48.52,4806,397,540,06/10 →
4.8 Turbo S,M48.52,4806,405,550,01/13 →
4.8 Turbo S,MCY.XA,4806,419,570,10/14 →
