Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
3.0 Diesel (970),MCR.CC,2967,184,250,09/11 → 07/13
3.0 Diesel (970),MCR.CB,2967,155,211,09/11 → 07/13
3.0 Diesel (970),MCW.JA,2967,221,300,12/13 → 10/16
3.0 S Bi-Turbo (970),MCW.FA,2996,235,320,08/13 → 10/16
3.0 S Bi-Turbo (970),MCW.DA,2996,309,420,08/13 → 10/16
3.0 S E-Hybrid (970),MCG.EA/FA,2996,306,416,08/13 → 10/16
3.0 S Hybrid (970),MCG.EA/FA,2995,279,380,06/11 → 07/13
3.6 (970),M46.20/40,3605,220,300,06/10 → 07/13
3.6 (970),"MCW.AA, MCX.NA",3605,228,310,07/13 → 10/16
4.8 GTS (970),M48.40 I015 / I145,4806,316,430,02/12 → 12/15
4.8 GTS (970),"MCX.PA, MCX.RA",4806,324,441,07/13 → 10/16
4.8 S/S4 (970),M48.20/40,4806,294,400,09/09 → 07/13
4.8 Turbo (970),M48.70,4806,368,500,09/09 → 07/13
4.8 Turbo (970),MCW.BA,4806,382,519,07/13 → 10/16
4.8 Turbo (970),M48.70 IX80,4806,397,540,08/10 → 07/13
4.8 Turbo S (970),M48.70 I016,4806,405,550,05/11 → 07/13
4.8 Turbo S (970),MCW.CA,4806,419,570,12/13 → 10/16
