Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 TCe 100 (HF),H4D,999,74,101,01/20 →
1.0 TCe 100 LPG (HF),H4D,999,74,101,01/20 →
1.0 TCe 90 (HF),H4D,999,67,91,09/20 →
1.0 TCe 90 ECO-G (HF),H4D,999,67,91,01/21 →
1.3 TCe 130 (HF),H5H,1332,96,131,01/20 →
1.3 TCe 140 (HF),H5H,1332,103,140,01/20 →
1.3 TCe 150 (HF),H5H,1332,110,150,10/21 →
1.3 TCe 155 (HF),H5H,1332,113,154,01/20 →
1.3 TCe 160 (HF),H5H,1332,116,158,09/20 →
1.5 Blue dCi 115 (HF),K9K,1461,85,116,01/20 →
1.5 Blue dCi 95 (HF),K9K,1461,70,95,01/20 →
1.6 E-Tech 145 (HF),H4M,1598,105,143,06/21 →
1.6 E-Tech 160 (HF),H4M,1598,116,158,05/20 →
