Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0,D7D,999,40,54,02/00 → 05/01
1.2 16V,D4F712/722,1149,55,75,01/01 → 11/12
1.2 8V,D7F710/720/722/726/764/766,1149,43,60,09/98 → 11/12
1.4,E7J780,1390,55,75,09/98 → 06/01
1.4 16V,K4J712/713/714/750,1390,72,98,01/00 → 09/05
1.5 dCi,K9K700 / K9K704,1461,48,65,06/01 → 11/12
1.5 dCi,K9K718/K9K716,1461,60,82,06/01 → 09/05
1.5 dCi,K9K712,1461,74,101,12/03 → 09/05
1.5 dCi,K9K 714,1461,50,68,08/04 → 12/07
1.5 dCi,K9K740,1461,47,65,06/05 → 11/12
1.6,K7M744/745,1598,66,90,09/98 → 02/00
1.6 16V,K4M748,1598,79,107,09/98 → 09/05
1.9 D,"F8Q-630, 632, 662",1870,47,65,09/98 → 09/01
1.9 dTi,F9Q-780,1870,59,80,01/00 → 06/01
2.0 16V Sport,F4R730/732/736,1998,124,169,03/00 → 01/04
2.0 16V Sport,F4R,1998,132,179,12/03 → 08/05
3.0 V6 Sport,L7X760,2946,166,226,11/00 → 01/03
3.0 V6 Sport,L7X762,2946,187,254,12/02 → 08/05
