Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 LPG,H4D,999,67,91,11/21 →
1.0 SCe 65,B4D,999,48,65,11/19 →
1.0 SCe 75,,999,53,72,06/19 →
1.0 TCe 100,H4D,999,74,101,06/19 →
1.0 TCe 90,H4D,999,67,91,08/20 →
1.3 TCe 100,H5H,1332,96,131,06/19 →
1.3 TCe 140,H5H,1332,103,140,09/20 →
1.5 Blue dCi 100,K9K,1461,74,101,11/21 →
1.5 Blue dCi 115,K9K,1461,85,116,06/19 →
1.5 Blue dCi 85,K9K,1461,63,86,06/19 →
1.6 E-Tech 140,H4M,1598,67,91,03/20 →
1.6 E-Tech 145,H4M,1598,69,94,01/22 →
1.6 E-Tech 145,H4M,1598,105,143,01/22 →
