Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.9 dCi,F9Q 820,1870,85,116,04/03 → 02/05
1.9 dCi,F9QT,1870,88,120,10/02 →
2.0 16V,F4R,1998,100,136,10/02 → 02/05
2.0 16V Turbo,F4RT,1998,120,163,10/02 →
2.0 16V Turbo,F4RT,1998,125,170,05/05 →
2.0 dCi,M9R,1995,110,150,04/06 →
2.0 dCi,M9R,1995,96,131,01/06 →
2.0 dCi,M9R,1995,127,173,04/06 →
2.2 dCi,G9T 742/743,2188,110,150,10/02 →
2.2 dCi FAP,G9T 645,2188,102,139,04/06 →
3.0 dCi V6,P9X-701,2958,130,177,10/02 → 12/05
3.0 dCi V6,P9X-715,2958,133,181,01/06 →
3.5 V6,V4Y,3498,177,241,10/02 →
