Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.2 TCe 115 (FW0/1, KW0/1)",H5F,1197,84,114,07/13 →
1.5 Blue dCi 115 (KW0/1),,1461,85,116,03/19 →
"1.5 dCi (FW0/1, KW0/1)",K9K 714/800/802/840,1461,50,68,02/08 → 12/10
"1.5 dCi (FW0/1, KW0/1)",K9K 804/806,1461,76,103,02/08 → 12/10
"1.5 dCi 110 (FW0/1, KW0/1)",K9K636/804/812/816,1461,81,110,09/10 →
"1.5 dCi 75 (FW0/1, KW0/1)",K9K,1461,55,75,09/10 →
"1.5 dCi 80 (FW0/1, KW0/1)",K9K 800/802,1461,63,86,02/08 → 12/10
1.5 dCi 80 (FW0/1),K9K,1461,59,80,10/19 →
"1.5 dCi 90 (FW0/1, KW0/1)",K9K 608/628/808,1461,66,90,06/09 →
"1.5 dCi 95 (FW0/1, KW0/1)",K9K,1461,70,95,03/19 →
"1.6 16V (FW0/1, KW0/1)",K4M 830,1598,78,106,02/08 →
"1.6 16V LPG (FW0/1, KW0/1)",K4M 834,1598,72,98,02/08 →
"1.6 8V (FW0/1, KW0/1)",K7M 750,1598,64,87,05/08 →
"Z.E. (FW0/1, KW0/1)",5AM400,,44,60,10/11 →
