Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5 dCi,K9K 846,1461,81,110,03/12 → 12/15
1.5 dCi,K9K 780,1461,81,110,10/07 → 12/15
1.6 16V,K4M 824,1598,81,110,10/07 → 12/15
2.0 16V,M4R 704,1997,103,140,10/07 → 12/15
2.0 16V GT Turbo,F4R 800,1998,150,205,03/08 → 12/15
2.0 16V Turbo,F4R 811,1998,125,170,10/07 → 12/15
2.0 dCi,M9R 742/802/805,1995,110,150,10/07 → 12/15
2.0 dCi,M9R 816,1995,131,178,10/07 → 12/15
2.0 dCi,M9R 800,1995,127,173,10/07 → 12/15
2.0 dCi,M9R 742/744/802,1995,96,130,10/07 → 12/15
3.0 dCi,,2998,177,241,01/12 → 12/15
3.0 dCi,V9X,2998,173,235,12/08 → 12/15
3.5 24V,V4Y 713,3498,175,238,10/08 → 12/15
