Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4,,,35,48,09/80 → 07/98
1.7,,,48,66,09/80 → 07/98
2.0 (Q..2),"829 730,731",1995,59,85,09/80 → 09/86
2.0 (Q..2),"J5R 718,728",1995,59,85,10/86 → 07/98
2.1 D (R..3),J8S 330,2100,44,60,09/80 → 07/98
2.2 (R..2),J7T 788,2165,67,91,10/86 → 07/98
2.2 (R..2),"J7T 782, J7T 788",2165,67,91,10/80 → 09/86
2.2i (R..A),J7T 782 Kat.,2165,67,91,09/80 → 07/98
2.5 D (Q..4),Sofim-8140.61,2445,52,72,09/80 → 11/90
2.5 D,S8U,2499,60,81,06/97 → 07/98
2.5 D,S8U 742,2499,55,75,08/89 → 07/98
2.5 TD (R..5),Sofim-8140.27,2499,72,98,09/80 → 07/98
2.5 TD,S9U 714,2499,69,94,08/89 → 07/98
2.5 TDI,8140,2498,85,116,06/97 → 07/98
