Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.9 dCi 80,F9Q-772/774,1870,60,82,10/03 → 06/10
2.2 dCi 90,G9T 720/750,2188,66,90,10/03 → 06/10
2.5 dCi 100,G9U 750/754,2463,73,99,10/03 → 07/06
2.5 dCi 100,G9U 650,2463,74,101,07/06 → 06/10
2.5 dCi 120,G9U-750,2463,84,114,10/03 → 07/06
2.5 dCi 120,G9U 650,2463,88,120,07/06 → 06/10
2.5 dCi 150,G9U 632,2463,107,146,07/06 → 06/10
2.8 dCi 110,S9W,2798,78,106,06/05 → 04/10
2.8 dCi 125,S9W,2798,92,125,06/05 → 04/10
2.8 dCi 140,S9W,2798,103,140,06/05 → 04/10
3.0 dCi 120,ZD3,2953,85,116,06/05 → 04/10
3.0 dCi 130,ZD3,2953,96,131,06/05 → 04/10
3.0 dCi 140,ZD3 200/202/203,2953,100,136,01/04 → 07/06
3.0 dCi 150,ZD3,2953,110,150,06/05 → 04/10
3.0 dCi 160,ZD3,2953,115,156,05/04 → 06/10
