Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 Eco,E7J 624,1390,52,71,02/96 → 03/99
1.4i,E7J 764,1390,55,75,01/96 → 08/03
1.4i 16V,K4J 750,1390,70,95,03/99 → 08/03
1.6 16V,,1598,81,110,11/01 → 12/04
1.6 BiFuel,"K4M 704, 712",1598,79,107,10/00 → 07/03
1.6 e,K7M 703,1598,66,90,01/96 → 03/99
1.6i,K7M 720,1598,55,75,01/96 → 03/99
1.6i 16V,K4M 700,1598,79,107,03/99 → 08/03
1.8i 16V,F4P,1783,85,115,03/01 → 08/03
1.9 D,F8Q 620,1870,47,64,01/96 → 08/03
1.9 D,F8Q 622,1870,48,65,03/99 → 08/03
1.9 TDi,,1870,69,94,09/96 → 08/03
1.9 dCi,F9Q 732/733,1870,75,102,10/00 → 08/03
1.9 dT,F8Q 784,1870,66,90,01/96 → 08/03
1.9 dT,F8Q 784,1870,76,104,08/98 → 10/99
1.9 dTi,F9Q730/731//734/736,1870,72,98,03/97 → 08/03
1.9 dTi,F9Q 731/736,1870,73,100,03/99 →
1.9 dTi,F9Q,1870,59,80,10/00 → 08/03
2.0 16V,F7R 710,1998,108,147,03/96 → 12/99
2.0i,F3R 750,1998,84,114,01/96 → 08/03
2.0i,F3R-750,1998,80,109,03/99 → 08/03
2.0i 16V,F4R,1998,102,139,01/02 → 08/03
2.0i 16V,F5R,1998,103,140,03/99 → 08/03
2.0i 16V,F5R,1998,102,138,10/01 →
