Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 TCe 110,H5F 400,1197,85,116,03/12 →
1.2 TCe 130 (JZ16),H5F 404,1197,97,132,01/13 →
1.4 16V (BZ0F),H4J 700,1397,96,130,04/09 →
1.5 dCi 95,K9K 846,1461,70,95,01/14 →
1.5 dCi FAP,K9K F 830,1461,63,86,11/08 → 08/15
1.5 dCi FAP,K9K H 834,1461,66,90,11/08 → 08/15
1.5 dCi FAP (BZ1M),K9K 636/832/836/837/846,1461,81,110,01/09 → 08/15
1.6 16V,K4M 848,1598,74,100,11/08 → 08/15
1.6 16V,K4M 858,1598,81,110,11/08 → 08/15
1.6 16V,"K4M 848, 858",1598,85,116,01/13 →
1.6 dCi 130,R9M,1598,96,131,05/11 →
1.9 dCi FAP (BZ0J),F9Q,1870,96,130,11/08 →
2.0 16V,M4R 711,1998,103,140,04/09 →
2.0 16V RS (Mégane Sport),F4R 874,1998,184,250,12/09 →
2.0 16V RS Trophy,F4RT,1998,201,273,07/14 →
2.0 16V TCe,F4R 870 / F4R 872,1998,132,180,01/09 → 08/15
2.0 16V TCe,F4R 872,1998,140,190,06/12 →
2.0 16V TCe RS,F4RT,1998,195,265,08/11 →
2.0 TCe 220,F4R 874,1998,162,220,01/14 →
2.0 dCi FAP (BZ0Y),M9R,1995,120,163,07/12 →
2.0 dCi FAP (BZ0Y),M9R 615,1995,110,150,04/09 →
2.0 dCi FAP (BZ0L),M9R 610,1995,118,160,04/09 →
