Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 (JA0E),E7J 764,1390,55,75,01/97 → 09/99
1.6 (JA0L),K7M 720,1598,55,75,01/97 → 09/99
1.6 (JA0F),K7M 702/703,1598,66,90,01/97 → 09/99
1.6 16V (JA),K4M 700/701/704/708,1598,79,107,04/98 → 09/99
1.9 D (JA0J),F8Q 788/790,1870,47,64,03/97 → 09/99
1.9 dT (JA0K/JA0Y),F8Q 784/786,1870,66,90,01/97 → 09/99
1.9 dT (JA0K/JA0Y),F8Q,1870,74,100,04/97 → 09/99
1.9 dTi (JA0N),F9Q 730/734,1870,72,98,04/97 → 09/99
2.0 (JA0G),F3R 750/751,1998,84,114,01/97 → 09/99
2.0 (JA0G),F3R 796,1998,80,109,09/98 → 09/99
