Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 (L48),,1397,51,69,06/88 → 10/93
1.7 (K/S482),F3N 723,1721,66,90,03/86 → 02/94
1.7 (L48N),F2N 752,1721,64,87,06/87 → 04/89
"1.7 (L48F, KAT)",F3N 726,1721,54,73,07/89 → 02/94
1.7 (B/L/K48_),"F3N 722, 723",1721,66,90,09/89 → 06/94
"1.7 GTL,TL (L48M/48F)",F2N 750,1721,54,73,03/86 → 02/94
"1.7 GTS,TS (L48E)",F3N 723,1709,69,94,03/86 → 12/89
1.7 TL (L48F/L481),F2N 712,1709,55,75,03/86 → 02/94
"1.7 TS,GTS,RS,TSE (L482)",F2N 710,1721,65,88,03/86 → 09/90
1.9 D,F8Q 710,1870,47,64,09/89 → 12/94
2.0,,1995,88,120,03/84 → 12/93
2.0,,1995,75,102,03/86 → 10/93
2.0,,1995,88,120,03/86 → 12/93
2.0 (L48R),J7R 740,1995,99,135,02/90 → 06/94
2.0,,1995,78,106,05/91 → 10/93
"2.0 RX,TXE,GTX (L483)",J7R 751,1995,85,116,03/86 → 12/88
2.0 TXI (B48R/48Y/483),J7R 740,1995,99,135,09/89 → 10/93
2.0 Turbo (L485),J7R 752,1995,129,175,04/87 → 10/93
2.0 Turbo (L48L),J7R 756,1995,119,162,02/90 → 10/92
"2.1 D Nevada (K48V,S48V,K480)",J8S 740,2068,53,72,10/89 → 12/92
2.1 D Nevada RT (K480),J8S 784,2068,51,69,02/92 → 09/95
"2.1 TD D,DX (L487/48P/48W/48)",J8S 788,2068,65,88,03/86 → 06/94
"2.1 TD,GTD (L48O/L486)",J8S 704,2068,48,65,03/86 → 05/92
"2.2 RX,TX,GTX (L48K)",J7T 755,2165,79,107,07/86 → 12/93
