Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"0.8 (1221,1391,2381)",800 710,845,26,35,10/72 → 09/84
"0.8 (1221,1391,2381)",800 710,845,27,37,09/81 → 09/84
"1.0 (1222,1392)",,949,32,44,10/79 → 12/85
"1.0 (1222,2382)",689 710,951,32,44,01/72 → 08/80
"1.1 (1227,1397,2387)",688 713,1100,33,45,09/80 → 12/85
1.3 (1225),810 726,1280,31,42,09/76 → 09/79
"1.3 (1225,1395)",810 719,1280,33,45,10/79 → 09/84
"1.3 (1224,1394)",810 725,1280,47,64,09/75 → 09/84
1.3 Automatik (1225),810 729,1280,40,54,06/79 → 09/84
1.4 (1229),C2J 713,1387,46,63,01/82 → 12/85
1.4 Alpine A5 (1223),840 725,1387,68,93,09/77 → 09/81
1.4 Alpine Turbo (122B),C6J 750,1387,79,108,10/81 → 01/85
"1.4 Automatik (1229,1399)",847 712,1387,43,59,06/82 → 09/84
1.4 Turbo (8220),840 730,1397,118,160,06/80 → 01/85
