Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 (B/C/S400),C1C 700,949,30,41,10/84 → 10/88
"1.1 (B/C40H,B/C/S401)",C1E 760,1108,33,45,09/89 →
"1.1 (B/C40H,B/C/S401)",C1E 754,1100,34,46,10/84 → 12/96
1.1 (B/C/S401),C1E 756,1100,33,45,10/84 → 03/95
1.2,,1237,40,55,01/87 → 12/96
"1.4 (B/C402,B/C/S407)",C1J 780,1387,43,59,10/84 → 06/88
1.4 (B/C40J),C2J 782,1397,49,67,06/87 → 07/89
1.4 (B/C40M),C2J 784,1397,44,60,06/87 → 08/90
"1.4 (KAT, B/C/S407)",C3J 760,1390,43,58,10/85 → 12/96
1.4 (B/C403),C2J 798,1387,52,71,10/84 → 07/89
1.4 GT Turbo (C405),C1J 788,1387,85,115,04/85 → 08/90
1.4 Turbo (8220),840 730,1397,118,160,01/84 → 05/91
"1.6 TD,GTD (B/C/S404)",F8M 730,1585,40,55,10/87 → 12/96
1.7 (B/C408),F3N 717,1721,54,73,10/86 → 03/95
1.7 GTE (C409),F3N 722,1709,69,94,10/86 → 08/91
1.7 GTX (B/C40K/G),F2N 742,1721,64,87,06/87 → 03/95
