Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0,,949,27,37,02/86 → 05/92
1.1 (F401),"C1E 792, C1E 750",1108,33,45,06/87 → 08/91
1.1 (F401/40H),C1E 756,1100,33,45,06/87 → 08/91
1.2 (F406/40F),C3G 702,1239,40,55,09/91 → 03/98
1.2,C1G,1200,40,55,09/91 → 11/98
1.4 (F407/402/40M),C2J 784,1397,44,60,03/86 → 08/91
1.4 (F407/40A),"C3J 700, E7J 720",1390,43,58,03/86 → 03/98
1.4 (F40U/40V),E7J 726,1390,55,75,09/91 → 03/98
1.4,E7J 728,1390,58,79,09/94 → 03/98
1.4 (F402),C1J 780,1397,43,58,07/85 → 08/91
1.4i,E6J/E7J,,43,60,10/91 →
1.6 D (F404),F8M 760,1585,40,55,03/86 → 08/91
1.9 D,F8Q 640,1870,40,54,09/94 → 03/98
1.9 D (F40P/40N/40E),F8Q 774,1870,47,64,09/91 → 03/98
