Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 (B540),J7R 732/733,1995,77,105,11/92 → 07/96
2.0 12V,"J7R 734, J7R 735",1995,97,132,04/92 → 07/96
2.0 16V,N7Q 711,1948,100,136,07/96 → 12/00
2.1 TD (B546),J8S 760,2068,65,88,11/93 → 07/96
2.2 Si RN (B543),J7T 761,2165,101,137,12/92 → 07/96
2.2 TD,G8T 740,2188,83,113,07/96 → 12/00
2.2i RN (B541),J7T 763,2165,79,107,08/94 → 07/96
2.5 20V,N7U 701,2435,121,165,07/96 → 12/00
2.5 TD (B548),S8U 763,2500,83,113,12/92 → 07/96
2.9 24V (B54N),L7X 713,2946,140,190,03/99 → 12/00
3.0 Biturbo 4x4 (B545),Z7X 726,2963,193,262,02/93 → 07/96
3.0 V6 (B544),Z7X 723,2963,123,167,12/92 → 12/00
3.0 V6 4x4 (B544),Z7X 723,2963,123,167,12/92 → 07/96
