Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 TCe,,1197,85,116,09/16 →
1.2 TCe,,1197,96,130,09/16 →
"1.3 TCe 115 (J9, R9)",H5H450,1331,85,116,01/18 →
"1.3 TCe 140 (J9, R9)",H5H450,1331,103,140,01/18 →
"1.3 TCe 160 (J9, R9)",H5H,1331,120,163,01/18 →
1.5 dCi 110 Hybrid Assist,,1461,81,110,04/17 →
1.5 dCi 95,"K9K 646, K9K 846",1461,70,95,09/16 →
1.5 dCi FAP,,1461,81,110,09/16 →
1.6 dCi,,1598,96,131,09/16 →
1.6 dCi,,1598,118,160,09/16 →
1.7 dCi 120,R9N-401,1749,88,120,08/18 →
1.7 dCi 150,,1749,110,150,08/18 →
