Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3 TCe 160,H5H 470,1332,117,160,01/19 →
1.5 dCi 110,K9K-646,1461,81,110,11/15 →
1.6 TCe 150,M5M-450,1618,110,150,11/15 →
1.6 TCe 200,M5M-450,1618,147,200,11/15 →
1.6 dCi 130,R9M,1598,96,131,11/15 →
1.6 dCi 160,R9M,1598,118,160,11/15 →
1.7 Blue dCi 120,R9N-401,1749,88,120,09/18 →
1.7 Blue dCi 150,,1749,110,150,09/18 →
1.8 TCe 225,M5P-403,1798,165,224,09/18 →
2.0 Blue dCi 160,M9R 650,1997,118,160,01/19 →
2.0 Blue dCi 190,M9R 650,1997,139,189,07/21 →
2.0 Blue dCi 200,M9R 650,1997,147,200,01/19 →
