Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 dCi 115,R9M,1598,84,115,07/14 →
1.6 dCi 120,R9M,1598,88,120,07/14 →
1.6 dCi 125,R9M,1598,92,125,07/15 →
1.6 dCi 140,R9M,1598,103,140,07/14 →
1.6 dCi 145,R9M,1598,107,145,07/15 →
1.6 dCi 90,R9M,1598,66,90,07/14 →
1.6 dCi 95,R9M,1598,70,95,07/15 →
2.0 dCi 110,M9R,1997,81,110,05/21 →
2.0 dCi 120,M9R,1997,88,120,06/19 →
2.0 dCi 130,M9R,1997,96,131,08/21 →
2.0 dCi 145,M9R,1997,107,145,06/19 →
2.0 dCi 150,M9R,1997,110,150,05/21 →
2.0 dCi 170,M9R,1997,125,170,06/19 →
