Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 16V Turbo (BJ0K06),F4R,1998,125,170,04/05 →
2.0 16V Turbo (BJ0K06),F4R,1998,120,164,03/02 →
2.0 Turbo,F4R 867,,108,147,04/05 →
2.0 dCi,M9R,1995,127,173,05/06 →
2.0 dCi,M9R,1995,110,150,05/06 →
2.2 dCi (BJ00),G9T 606,2188,78,106,09/05 → 12/10
2.2 dCi 16V (BJ0E06),G9T,2188,110,150,03/02 →
2.2 dCi 16V FAP (BJ0),G9T,2188,102,140,09/04 →
2.2 dCi 16V FAP (BJ0),G9T,2188,85,115,04/04 →
3.0 dCi V6 24V (BJ0J0B),P9X-701,2958,130,177,10/01 → 05/06
3.0 dCi V6 24V,P9X-715,2958,133,181,06/06 →
3.5 V6 24V (BJ0V0B),V4Y,3498,177,241,10/01 →
